ref_no,order,time,cashier_name,bill_type,pickup_type,payment_method,balance,discount,taxes_svc,payment,tip,change,cashback
3005515,21,27/8/2022 13:12,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿160,-฿15,฿0,฿160,฿0,฿0,฿0
3005514,22,27/8/2022 13:01,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿414,฿0,฿0,฿414,฿0,฿0,฿0
3005513,23,27/8/2022 12:39,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿175,฿0,฿0,฿175,฿0,฿0,฿0
3005512,24,27/8/2022 12:34,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿425,฿0,฿0,฿425,฿0,฿0,฿0
3005511,25,27/8/2022 12:27,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿215,฿0,฿0,฿215,฿0,฿0,฿0
3005510,26,27/8/2022 12:18,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿175,฿0,฿0,฿175,฿0,฿0,฿0
3005509,27,27/8/2022 11:44,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3005508,28,27/8/2022 11:09,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿115,฿0,฿0,฿115,฿0,฿0,฿0
3005507,29,27/8/2022 10:07,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿204,฿0,฿0,฿204,฿0,฿0,฿0
3005506,30,27/8/2022 10:07,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿205,-฿15,฿0,฿205,฿0,฿0,฿0
3005505,31,27/8/2022 10:01,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿165,฿0,฿0,฿165,฿0,฿0,฿0
3005504,32,26/8/2022 20:56,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿770,฿0,฿0,฿770,฿0,฿0,฿0
3005503,33,26/8/2022 20:30,นุ่น,ทานที่ร้าน,-,เงินสด,฿584,฿0,฿0,"฿1,000",฿0,฿416,฿0
3005502,34,26/8/2022 20:23,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿414,฿0,฿0,฿414,฿0,฿0,฿0
3005501,35,26/8/2022 20:04,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿85,฿0,฿0,฿85,฿0,฿0,฿0
3005500,36,26/8/2022 20:01,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿130,฿0,฿0,฿130,฿0,฿0,฿0
3005499,37,26/8/2022 19:20,นุ่น,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿125,฿0,฿0,฿125,฿0,฿0,฿0
3005498,38,26/8/2022 19:17,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿117,-฿12,฿0,฿117,฿0,฿0,฿0
3005497,39,26/8/2022 19:05,นุ่น,ทานที่ร้าน,-,เงินสด,฿85,฿0,฿0,฿100,฿0,฿15,฿0
3005496,40,26/8/2022 18:57,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿300,฿0,฿0,฿300,฿0,฿0,฿0
3005495,41,26/8/2022 18:56,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿103,-฿12,฿0,฿103,฿0,฿0,฿0
3005494,42,26/8/2022 18:46,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿120,฿0,฿0,฿500,฿0,฿380,฿0
3005493,43,26/8/2022 18:43,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿175,-฿15,฿0,฿175,฿0,฿0,฿0
3005492,44,26/8/2022 18:43,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿275,฿0,฿0,฿275,฿0,฿0,฿0
3005491,45,26/8/2022 18:31,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿219,฿0,฿0,฿219,฿0,฿0,฿0
3005490,46,26/8/2022 18:24,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿370,฿0,฿0,฿370,฿0,฿0,฿0
3005489,47,26/8/2022 18:14,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿75,฿0,฿0,฿100,฿0,฿25,฿0
3005488,48,26/8/2022 18:06,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿40,฿0,฿0,฿100,฿0,฿60,฿0
3005487,49,26/8/2022 18:04,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿174,-฿15,฿0,฿174,฿0,฿0,฿0
3005486,50,26/8/2022 18:02,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿65,฿0,฿0,฿100,฿0,฿35,฿0
3005485,51,26/8/2022 17:49,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005484,52,26/8/2022 17:41,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿571,฿0,฿0,฿571,฿0,฿0,฿0
3005483,53,26/8/2022 17:37,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,อื่นๆ,฿300,฿0,฿0,฿300,฿0,฿0,฿0
3005482,54,26/8/2022 17:08,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿10,฿0,฿0,฿10,฿0,฿0,฿0
3005481,55,26/8/2022 17:05,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3005480,56,26/8/2022 15:49,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿160,฿0,฿0,฿160,฿0,฿0,฿0
3005479,57,26/8/2022 15:02,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿713,฿0,฿0,฿713,฿0,฿0,฿0
3005478,58,26/8/2022 15:02,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿165,-฿15,฿0,฿165,฿0,฿0,฿0
3005477,59,26/8/2022 14:54,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,"฿1,005",฿0,฿0,"฿1,005",฿0,฿0,฿0
3005476,60,26/8/2022 14:44,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿239,฿0,฿0,฿239,฿0,฿0,฿0
3005475,61,26/8/2022 14:27,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿132,฿0,฿0,฿132,฿0,฿0,฿0
3005474,62,26/8/2022 14:07,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿414,฿0,฿0,฿414,฿0,฿0,฿0
3005473,63,26/8/2022 13:49,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005472,64,26/8/2022 13:38,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿40,฿0,฿0,฿40,฿0,฿0,฿0
3005471,65,26/8/2022 13:29,นุ่น,ทานที่ร้าน,-,เงินสด,฿75,฿0,฿0,฿100,฿0,฿25,฿0
3005470,66,26/8/2022 13:08,นุ่น,ทานที่ร้าน,-,เงินสด,฿426,฿0,฿0,฿450,฿0,฿24,฿0
3005469,67,26/8/2022 12:48,นุ่น,ทานที่ร้าน,-,เงินสด,฿199,฿0,฿0,฿200,฿0,฿1,฿0
3005468,68,26/8/2022 12:46,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿340,฿0,฿0,฿340,฿0,฿0,฿0
3005467,69,26/8/2022 12:44,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿222,฿0,฿0,฿222,฿0,฿0,฿0
3005466,70,26/8/2022 12:18,นุ่น,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿100,฿0,฿0,฿100,฿0,฿0,฿0
3005465,71,26/8/2022 12:08,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿170,฿0,฿0,฿170,฿0,฿0,฿0
3005464,72,26/8/2022 12:03,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005463,73,26/8/2022 12:00,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿187,฿0,฿0,฿187,฿0,฿0,฿0
3005462,74,26/8/2022 11:38,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿309,฿0,฿0,฿309,฿0,฿0,฿0
3005461,75,26/8/2022 11:24,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿100,฿0,฿0,฿100,฿0,฿0,฿0
3005460,76,26/8/2022 11:11,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿229,฿0,฿0,฿229,฿0,฿0,฿0
3005459,77,26/8/2022 10:31,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3005458,78,25/8/2022 20:34,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿180,฿0,฿0,฿180,฿0,฿0,฿0
3005457,79,25/8/2022 20:26,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿87,฿0,฿0,฿87,฿0,฿0,฿0
3005456,80,25/8/2022 20:20,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿97,฿0,฿0,฿97,฿0,฿0,฿0
3005455,81,25/8/2022 20:04,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿129,฿0,฿0,฿129,฿0,฿0,฿0
3005454,82,25/8/2022 19:07,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿364,฿0,฿0,฿364,฿0,฿0,฿0
3005453,83,25/8/2022 18:39,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3005452,84,25/8/2022 17:58,นุ่น,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿190,฿0,฿0,฿190,฿0,฿0,฿0
3005451,85,25/8/2022 17:43,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿408,฿0,฿0,฿408,฿0,฿0,฿0
3005450,86,25/8/2022 17:40,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿140,฿0,฿0,฿140,฿0,฿0,฿0
3005449,87,25/8/2022 17:03,นุ่น,ทานที่ร้าน,-,เงินสด,฿229,฿0,฿0,฿229,฿0,฿0,฿0
3005448,88,25/8/2022 16:44,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3005447,89,25/8/2022 15:24,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿408,-฿21,฿0,฿408,฿0,฿0,฿0
3005446,90,25/8/2022 15:21,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿75,฿0,฿0,฿100,฿0,฿25,฿0
3005445,91,25/8/2022 15:16,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿110,฿0,฿0,฿110,฿0,฿0,฿0
3005444,92,25/8/2022 15:06,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005443,93,25/8/2022 14:47,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿380,฿0,฿0,฿380,฿0,฿0,฿0
3005442,94,25/8/2022 13:45,นุ่น,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿340,฿0,฿0,฿340,฿0,฿0,฿0
3005441,95,25/8/2022 12:54,นุ่น,ทานที่ร้าน,-,เงินสด,฿364,฿0,฿0,฿500,฿0,฿136,฿0
3005440,96,25/8/2022 12:37,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿286,฿0,฿0,฿286,฿0,฿0,฿0
3005439,97,25/8/2022 11:53,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿163,-฿12.00,฿0,฿163,฿0,฿0,฿0
3005438,98,25/8/2022 11:06,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿160,-฿15,฿0,฿160,฿0,฿0,฿0
3005437,99,25/8/2022 10:55,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿150,฿0,฿0,฿150,฿0,฿0,฿0
3005436,100,25/8/2022 10:46,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿154,฿0,฿0,฿154,฿0,฿0,฿0
3005435,101,24/8/2022 19:52,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿324,฿0,฿0,฿324,฿0,฿0,฿0
3005434,102,24/8/2022 19:49,นุ่น,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿319,฿0,฿0,฿319,฿0,฿0,฿0
3005433,103,24/8/2022 19:47,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿669,฿0,฿0,฿669,฿0,฿0,฿0
3005432,104,24/8/2022 19:09,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿302,฿0,฿0,฿302,฿0,฿0,฿0
3005431,105,24/8/2022 19:06,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿129,฿0,฿0,฿129,฿0,฿0,฿0
3005430,106,24/8/2022 18:41,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿140,฿0,฿0,฿140,฿0,฿0,฿0
3005429,107,24/8/2022 18:31,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿326,฿0,฿0,฿326,฿0,฿0,฿0
3005428,108,24/8/2022 18:17,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿410,฿0,฿0,฿410,฿0,฿0,฿0
3005427,109,24/8/2022 17:56,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿314,฿0,฿0,฿314,฿0,฿0,฿0
3005426,110,24/8/2022 17:37,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿140,฿0,฿0,฿140,฿0,฿0,฿0
3005425,111,24/8/2022 17:33,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿309,฿0,฿0,฿309,฿0,฿0,฿0
3005424,112,24/8/2022 16:25,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿265,-฿15,฿0,฿265,฿0,฿0,฿0
3005423,113,24/8/2022 16:25,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿364,฿0,฿0,฿364,฿0,฿0,฿0
3005422,114,24/8/2022 16:12,นุ่น,ทานที่ร้าน,-,เงินสด,฿100,฿0,฿0,฿100,฿0,฿0,฿0
3005421,115,24/8/2022 16:09,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿265,฿0,฿0,฿265,฿0,฿0,฿0
3005420,116,24/8/2022 16:09,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿222,-฿12,฿0,฿222,฿0,฿0,฿0
3005419,117,24/8/2022 15:22,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿419,฿0,฿0,฿419,฿0,฿0,฿0
3005418,118,24/8/2022 15:17,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿289,฿0,฿0,฿289,฿0,฿0,฿0
3005417,119,24/8/2022 15:00,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿195,฿0,฿0,฿195,฿0,฿0,฿0
3005416,120,24/8/2022 14:42,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿290,฿0,฿0,฿290,฿0,฿0,฿0
3005415,121,24/8/2022 14:26,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005414,122,24/8/2022 14:13,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿235,฿0,฿0,฿235,฿0,฿0,฿0
3005413,123,24/8/2022 13:38,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿410,฿0,฿0,฿410,฿0,฿0,฿0
3005412,124,24/8/2022 13:19,นุ่น,ทานที่ร้าน,-,เงินสด,฿402,฿0,฿0,฿502,฿0,฿100,฿0
3005411,125,24/8/2022 13:17,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿55,฿0,฿0,฿500,฿0,฿445,฿0
3005410,126,24/8/2022 13:13,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿220,-฿15,฿0,฿220,฿0,฿0,฿0
3005409,127,24/8/2022 13:12,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿88,-฿12,฿0,฿88,฿0,฿0,฿0
3005408,128,24/8/2022 12:58,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿344,฿0,฿0,฿344,฿0,฿0,฿0
3005407,129,24/8/2022 12:52,นุ่น,ทานที่ร้าน,-,เงินสด,฿243,฿0,฿0,"฿1,000",฿0,฿757,฿0
3005406,130,24/8/2022 12:39,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿294,฿0,฿0,฿294,฿0,฿0,฿0
3005405,131,24/8/2022 12:37,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿277,-฿12,฿0,฿277,฿0,฿0,฿0
3005404,132,24/8/2022 12:20,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿205,฿0,฿0,฿205,฿0,฿0,฿0
3005403,133,24/8/2022 10:19,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿219,-฿15,฿0,฿219,฿0,฿0,฿0
3005402,134,23/8/2022 20:57,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿95,฿0,฿0,฿95,฿0,฿0,฿0
3005401,135,23/8/2022 20:55,นุ่น,ทานที่ร้าน,-,เงินสด,฿286,฿0,฿0,"฿1,000",฿0,฿714,฿0
3005400,136,23/8/2022 20:43,นุ่น,ทานที่ร้าน,-,เงินสด,฿689,฿0,฿0,"฿1,000",฿0,฿311,฿0
3005399,137,23/8/2022 20:12,นุ่น,ทานที่ร้าน,-,เงินสด,฿97,฿0,฿0,฿100,฿0,฿3,฿0
3005398,138,23/8/2022 20:06,นุ่น,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿144,฿0,฿0,฿144,฿0,฿0,฿0
3005397,139,23/8/2022 19:58,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿205,฿0,฿0,฿205,฿0,฿0,฿0
3005396,140,23/8/2022 19:43,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿105,฿0,฿0,฿105,฿0,฿0,฿0
3005395,141,23/8/2022 19:30,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿88,-฿12,฿0,฿88,฿0,฿0,฿0
3005394,142,23/8/2022 19:14,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿205,฿0,฿0,฿205,฿0,฿0,฿0
3005393,143,23/8/2022 19:09,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿299,฿0,฿0,฿299,฿0,฿0,฿0
3005392,144,23/8/2022 19:04,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿170,฿0,฿0,฿170,฿0,฿0,฿0
3005391,145,23/8/2022 18:58,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿85,฿0,฿0,฿85,฿0,฿0,฿0
3005390,146,23/8/2022 18:53,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿55,฿0,฿0,฿55,฿0,฿0,฿0
3005389,147,23/8/2022 18:50,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿75,฿0,฿0,฿100,฿0,฿25,฿0
3005388,148,23/8/2022 18:22,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿273,-฿15,฿0,฿273,฿0,฿0,฿0
3005387,149,23/8/2022 18:11,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿120,฿0,฿0,฿120,฿0,฿0,฿0
3005386,150,23/8/2022 17:48,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3005385,151,23/8/2022 17:35,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿235,฿0,฿0,฿235,฿0,฿0,฿0
3005384,152,23/8/2022 16:42,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3005383,153,23/8/2022 16:15,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿454,฿0,฿0,฿454,฿0,฿0,฿0
3005382,154,23/8/2022 15:41,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿215,฿0,฿0,฿215,฿0,฿0,฿0
3005381,155,23/8/2022 13:53,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3005380,156,23/8/2022 13:51,นุ่น,ทานที่ร้าน,-,เงินสด,฿817,฿0,฿0,"฿1,000",฿0,฿183,฿0
3005379,157,23/8/2022 13:45,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿90,฿0,฿0,฿100,฿0,฿10,฿0
3005378,158,23/8/2022 13:01,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿353,฿0,฿0,฿353,฿0,฿0,฿0
3005377,159,23/8/2022 12:53,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿474,฿0,฿0,฿474,฿0,฿0,฿0
3005376,160,23/8/2022 12:38,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿299,฿0,฿0,฿299,฿0,฿0,฿0
3005375,161,23/8/2022 12:03,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005374,162,23/8/2022 10:56,นุ่น,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿215,฿0,฿0,฿215,฿0,฿0,฿0
3005373,163,23/8/2022 10:40,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005372,164,22/8/2022 20:30,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿270,฿0,฿0,฿270,฿0,฿0,฿0
3005371,165,22/8/2022 19:54,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿304,฿0,฿0,฿304,฿0,฿0,฿0
3005370,166,22/8/2022 19:25,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿205,฿0,฿0,฿205,฿0,฿0,฿0
3005369,167,22/8/2022 19:06,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿189,฿0,฿0,฿189,฿0,฿0,฿0
3005368,168,22/8/2022 19:00,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿108,-฿12,฿0,฿108,฿0,฿0,฿0
3005367,169,22/8/2022 19:00,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿219,-฿15,฿0,฿219,฿0,฿0,฿0
3005366,170,22/8/2022 18:51,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿250,฿0,฿0,฿250,฿0,฿0,฿0
3005365,171,22/8/2022 18:37,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3005364,172,22/8/2022 18:15,นุ่น,ทานที่ร้าน,-,เงินสด,฿255,฿0,฿0,฿270,฿0,฿15,฿0
3005363,173,22/8/2022 17:55,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005362,174,22/8/2022 16:13,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿319,฿0,฿0,฿319,฿0,฿0,฿0
3005361,175,22/8/2022 15:23,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿544,฿0,฿0,฿544,฿0,฿0,฿0
3005360,176,22/8/2022 15:22,นุ่น,ทานที่ร้าน,-,อื่นๆ,฿544,฿0,฿0,฿544,฿0,฿0,฿0
3005359,177,22/8/2022 14:55,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿279,฿0,฿0,฿279,฿0,฿0,฿0
