ref_no,time,vendor,bill_type,pickup_type,payment_method,sale,payment,tip,change
3001106,10/3/2022 12:50,2,2,2,2,240.0,1000.0,0.0,760.0
3001107,10/3/2022 12:59,2,2,7,3,279.0,279.0,0.0,0.0
3001108,10/3/2022 13:00,2,1,1,2,77.0,100.0,0.0,23.0
3001109,10/3/2022 14:24,2,1,1,1,470.0,470.0,0.0,0.0
3001110,10/3/2022 16:41,2,2,3,3,165.0,165.0,0.0,0.0
3001111,10/3/2022 17:00,2,2,3,3,330.0,330.0,0.0,0.0
3001112,10/3/2022 17:09,2,2,2,2,110.0,120.0,0.0,10.0
3001113,10/3/2022 17:20,2,2,2,1,185.0,185.0,0.0,0.0
3001114,10/3/2022 17:26,2,1,1,2,142.0,202.0,0.0,60.0
3001115,10/3/2022 17:29,2,2,6,3,369.0,369.0,0.0,0.0
3001116,10/3/2022 17:40,2,2,6,3,180.0,180.0,0.0,0.0
3001117,10/3/2022 17:54,2,2,3,3,119.0,119.0,0.0,0.0
3001118,10/3/2022 18:40,2,2,6,3,394.0,394.0,0.0,0.0
3001119,10/3/2022 18:44,2,2,6,3,369.0,369.0,0.0,0.0
3001120,10/3/2022 18:57,2,2,6,3,125.0,125.0,0.0,0.0
3001121,10/3/2022 19:07,2,2,7,3,160.0,160.0,0.0,0.0
3001122,10/3/2022 19:12,2,2,2,1,120.0,120.0,0.0,0.0
3001123,10/3/2022 19:13,2,1,1,1,269.0,269.0,0.0,0.0
3001124,10/3/2022 19:14,2,2,2,2,20.0,50.0,0.0,30.0
3001125,10/3/2022 19:22,2,2,4,3,310.0,310.0,0.0,0.0
3001126,10/3/2022 20:14,2,2,3,3,354.0,354.0,0.0,0.0
3001127,10/3/2022 20:27,2,1,1,1,1050.0,1050.0,0.0,0.0
3001128,10/3/2022 21:00,2,2,4,3,330.0,330.0,0.0,0.0
3001129,11/3/2022 11:33,2,2,7,3,120.0,120.0,0.0,0.0
3001130,11/3/2022 11:48,2,1,1,1,142.0,142.0,0.0,0.0
3001131,11/3/2022 12:02,2,2,6,3,175.0,175.0,0.0,0.0
3001132,11/3/2022 13:00,2,1,1,1,235.0,235.0,0.0,0.0
3001133,11/3/2022 13:03,2,1,1,1,275.0,275.0,0.0,0.0
3001134,11/3/2022 13:03,2,2,4,3,200.0,200.0,0.0,0.0
3001135,11/3/2022 15:11,2,1,1,2,324.0,500.0,0.0,176.0
3001136,11/3/2022 17:59,2,2,4,3,468.0,468.0,0.0,0.0
3001137,11/3/2022 18:18,2,2,4,3,165.0,165.0,0.0,0.0
3001138,11/3/2022 18:45,2,2,3,3,340.0,340.0,0.0,0.0
3001139,11/3/2022 18:48,2,2,7,3,355.0,355.0,0.0,0.0
3001140,11/3/2022 18:57,2,1,1,1,221.0,221.0,0.0,0.0
3001141,11/3/2022 19:50,2,2,7,3,310.0,310.0,0.0,0.0
3001142,11/3/2022 20:24,2,2,6,3,294.0,294.0,0.0,0.0
3001143,11/3/2022 20:34,2,2,7,3,325.0,325.0,0.0,0.0
3001144,11/3/2022 20:40,2,1,1,2,219.0,220.0,0.0,1.0
3001145,11/3/2022 20:46,2,2,2,2,175.0,200.0,0.0,25.0
3001146,11/3/2022 20:57,2,1,1,1,465.0,465.0,0.0,0.0
3001147,11/3/2022 20:57,2,1,1,1,170.0,170.0,0.0,0.0
3001148,11/3/2022 20:59,2,2,6,3,90.0,90.0,0.0,0.0
3001149,11/3/2022 21:01,2,1,1,1,1330.0,1330.0,0.0,0.0
3001150,11/3/2022 21:02,2,2,2,1,110.0,110.0,0.0,0.0
3001151,11/3/2022 21:07,2,2,7,3,335.0,335.0,0.0,0.0
3001152,12/3/2022 12:38,2,2,4,3,115.0,115.0,0.0,0.0
3001153,12/3/2022 12:38,2,2,3,3,165.0,165.0,0.0,0.0
3001154,12/3/2022 12:55,2,2,3,3,240.0,240.0,0.0,0.0
3001155,12/3/2022 13:13,2,2,7,3,195.0,195.0,0.0,0.0
3001156,12/3/2022 16:22,2,1,1,1,554.0,554.0,0.0,0.0
3001157,12/3/2022 16:37,2,2,7,3,195.0,195.0,0.0,0.0
3001158,12/3/2022 16:54,2,1,1,1,324.0,324.0,0.0,0.0
3001159,12/3/2022 17:38,2,2,4,3,295.0,295.0,0.0,0.0
3001160,12/3/2022 17:42,2,2,4,3,150.0,150.0,0.0,0.0
3001162,12/3/2022 18:34,2,2,3,3,250.0,250.0,0.0,0.0
3001163,12/3/2022 18:36,2,2,7,3,425.0,425.0,0.0,0.0
3001164,12/3/2022 18:48,2,1,1,1,379.0,379.0,0.0,0.0
3001165,12/3/2022 19:33,2,2,2,2,260.0,1000.0,0.0,740.0
3001166,12/3/2022 19:36,2,2,6,3,240.0,240.0,0.0,0.0
3001167,12/3/2022 19:37,2,2,3,3,379.0,379.0,0.0,0.0
3001168,12/3/2022 19:44,2,2,2,3,264.0,264.0,0.0,0.0
3001169,12/3/2022 19:48,2,1,1,1,187.0,187.0,0.0,0.0
3001170,12/3/2022 20:49,2,2,4,3,534.0,534.0,0.0,0.0
3001171,12/3/2022 21:07,2,1,1,1,292.0,292.0,0.0,0.0
3001172,12/3/2022 21:27,2,2,6,3,234.0,234.0,0.0,0.0
3001173,12/3/2022 21:51,2,1,1,1,359.0,359.0,0.0,0.0
3001174,12/3/2022 21:59,2,2,6,3,284.0,284.0,0.0,0.0
3001175,12/3/2022 22:15,2,2,6,3,324.0,324.0,0.0,0.0
3001176,12/3/2022 22:15,2,2,6,3,90.0,90.0,0.0,0.0
3001177,12/3/2022 22:45,2,2,3,3,75.0,75.0,0.0,0.0
3001178,14/3/2022 12:03,2,2,2,2,110.0,120.0,0.0,10.0
3001179,14/3/2022 12:22,2,2,2,1,140.0,140.0,0.0,0.0
3001180,14/3/2022 12:30,2,2,2,2,20.0,100.0,0.0,80.0
3001181,14/3/2022 12:42,2,1,1,1,259.0,259.0,0.0,0.0
3001182,14/3/2022 12:43,2,2,3,3,115.0,115.0,0.0,0.0
3001183,14/3/2022 12:47,2,1,1,2,132.0,1000.0,0.0,868.0
3001184,14/3/2022 12:48,2,2,4,3,90.0,90.0,0.0,0.0
3001185,14/3/2022 13:02,2,1,1,1,705.0,705.0,0.0,0.0
3001186,14/3/2022 13:10,2,1,1,1,304.0,304.0,0.0,0.0
3001187,14/3/2022 13:12,2,1,1,1,550.0,550.0,0.0,0.0
3001188,14/3/2022 13:29,2,2,2,1,65.0,65.0,0.0,0.0
3001189,14/3/2022 13:49,2,1,1,1,142.0,142.0,0.0,0.0
3001190,14/3/2022 14:00,2,2,3,3,165.0,165.0,0.0,0.0
3001191,14/3/2022 14:30,2,2,2,1,55.0,55.0,0.0,0.0
3001193,14/3/2022 15:24,2,2,3,3,339.0,339.0,0.0,0.0
3001194,14/3/2022 15:26,2,2,3,3,264.0,264.0,0.0,0.0
3001195,14/3/2022 15:33,2,2,6,3,115.0,115.0,0.0,0.0
3001196,14/3/2022 16:35,2,2,7,3,80.0,80.0,0.0,0.0
3001197,14/3/2022 17:56,2,2,6,3,349.0,349.0,0.0,0.0
3001198,14/3/2022 18:01,2,2,7,3,240.0,240.0,0.0,0.0
3001199,14/3/2022 18:02,2,2,3,3,180.0,180.0,0.0,0.0
3001200,14/3/2022 18:21,2,2,6,3,354.0,354.0,0.0,0.0
3001201,14/3/2022 18:25,2,2,3,3,339.0,339.0,0.0,0.0
3001202,14/3/2022 18:41,2,1,1,1,324.0,324.0,0.0,0.0
3001203,14/3/2022 19:00,2,2,4,3,265.0,265.0,0.0,0.0
3001204,14/3/2022 19:59,2,1,1,1,227.0,227.0,0.0,0.0
3001205,14/3/2022 20:04,2,2,2,1,55.0,55.0,0.0,0.0
3001206,14/3/2022 20:15,2,2,4,3,255.0,255.0,0.0,0.0
3001207,15/3/2022 12:22,2,1,1,2,464.0,1000.0,0.0,536.0
3001208,15/3/2022 12:59,2,1,1,1,302.0,302.0,0.0,0.0
3001209,15/3/2022 13:05,2,2,3,3,150.0,150.0,0.0,0.0
3001210,15/3/2022 13:20,2,1,1,1,77.0,77.0,0.0,0.0
3001211,15/3/2022 13:37,2,2,2,2,110.0,200.0,0.0,90.0
3001212,15/3/2022 15:33,2,2,3,3,90.0,90.0,0.0,0.0
3001213,15/3/2022 15:55,2,2,3,3,365.0,365.0,0.0,0.0
3001214,15/3/2022 17:42,2,2,4,3,165.0,165.0,0.0,0.0
3001215,15/3/2022 18:35,2,2,5,3,90.0,90.0,0.0,0.0
3001216,15/3/2022 20:08,2,2,4,3,279.0,279.0,0.0,0.0
3001217,15/3/2022 20:11,2,1,1,1,420.0,420.0,0.0,0.0
3001218,15/3/2022 20:56,2,2,2,1,130.0,130.0,0.0,0.0
3001219,16/3/2022 11:18,2,2,7,3,200.0,200.0,0.0,0.0
3001220,16/3/2022 11:32,2,2,3,3,394.0,394.0,0.0,0.0
3001221,16/3/2022 11:32,2,1,1,1,165.0,165.0,0.0,0.0
3001222,16/3/2022 11:44,2,2,6,3,140.0,140.0,0.0,0.0
3001223,16/3/2022 12:43,2,1,1,1,227.0,227.0,0.0,0.0
3001224,16/3/2022 12:59,2,1,1,1,120.0,120.0,0.0,0.0
3001225,16/3/2022 13:10,2,1,1,1,445.0,445.0,0.0,0.0
3001226,16/3/2022 13:10,2,1,1,1,320.0,320.0,0.0,0.0
3001227,16/3/2022 14:19,2,2,2,2,55.0,500.0,0.0,445.0
3001228,16/3/2022 17:27,2,2,3,3,350.0,350.0,0.0,0.0
3001229,16/3/2022 17:31,2,2,5,3,400.0,400.0,0.0,0.0
3001230,16/3/2022 17:32,2,2,2,1,1380.0,1380.0,0.0,0.0
3001231,16/3/2022 18:44,2,1,1,1,349.0,349.0,0.0,0.0
3001232,16/3/2022 18:47,2,2,2,1,55.0,55.0,0.0,0.0
3001233,16/3/2022 18:53,2,2,2,1,165.0,165.0,0.0,0.0
3001234,16/3/2022 18:55,2,2,2,2,260.0,260.0,0.0,0.0
3001235,16/3/2022 18:58,2,2,4,3,369.0,369.0,0.0,0.0
3001236,16/3/2022 19:05,2,2,3,3,330.0,330.0,0.0,0.0
3001237,16/3/2022 19:13,2,1,1,1,260.0,260.0,0.0,0.0
3001238,16/3/2022 19:28,2,2,7,3,290.0,290.0,0.0,0.0
3001239,16/3/2022 19:35,2,2,3,3,294.0,294.0,0.0,0.0
3001240,16/3/2022 19:37,2,2,6,3,150.0,150.0,0.0,0.0
3001241,16/3/2022 20:05,2,1,1,1,420.0,420.0,0.0,0.0
3001242,16/3/2022 20:18,2,2,6,3,345.0,345.0,0.0,0.0
3001243,16/3/2022 20:50,2,2,3,3,180.0,180.0,0.0,0.0
3001244,16/3/2022 20:50,2,2,5,3,115.0,115.0,0.0,0.0
3001245,17/3/2022 11:10,2,2,2,1,470.0,470.0,0.0,0.0
3001246,17/3/2022 11:26,2,2,3,3,414.0,414.0,0.0,0.0
3001247,17/3/2022 11:54,2,2,7,3,255.0,255.0,0.0,0.0
3001248,17/3/2022 12:03,2,2,6,3,90.0,90.0,0.0,0.0
3001249,17/3/2022 12:29,2,2,3,3,90.0,90.0,0.0,0.0
3001250,17/3/2022 12:34,2,2,3,3,279.0,279.0,0.0,0.0
3001251,17/3/2022 12:46,2,1,1,1,77.0,77.0,0.0,0.0
3001252,17/3/2022 12:57,2,2,2,2,260.0,1000.0,0.0,740.0
3001253,17/3/2022 13:08,2,2,2,1,120.0,120.0,0.0,0.0
3001254,17/3/2022 13:32,2,1,1,2,445.0,500.0,0.0,55.0
3001255,17/3/2022 13:38,2,1,1,2,445.0,450.0,0.0,5.0
3001256,17/3/2022 13:39,2,2,3,3,90.0,90.0,0.0,0.0
3001257,17/3/2022 14:09,2,2,4,3,553.0,553.0,0.0,0.0
3001258,17/3/2022 14:26,2,2,4,3,330.0,330.0,0.0,0.0
3001259,17/3/2022 15:02,2,2,7,3,310.0,310.0,0.0,0.0
3001260,17/3/2022 15:33,2,2,2,1,120.0,120.0,0.0,0.0
3001261,17/3/2022 16:10,2,1,1,1,142.0,142.0,0.0,0.0
3001262,17/3/2022 17:05,2,2,5,3,150.0,150.0,0.0,0.0
3001263,17/3/2022 17:05,2,2,2,1,65.0,65.0,0.0,0.0
3001264,17/3/2022 17:05,2,2,3,3,345.0,345.0,0.0,0.0
3001265,17/3/2022 17:20,2,2,7,3,150.0,150.0,0.0,0.0
3001266,17/3/2022 17:24,2,2,6,3,250.0,250.0,0.0,0.0
3001267,17/3/2022 17:46,2,2,2,1,360.0,360.0,0.0,0.0
3001268,17/3/2022 18:12,2,1,1,1,130.0,130.0,0.0,0.0
3001269,17/3/2022 18:14,2,2,7,3,260.0,260.0,0.0,0.0
3001270,17/3/2022 18:25,2,2,3,3,330.0,330.0,0.0,0.0
3001271,17/3/2022 19:10,2,1,1,1,294.0,294.0,0.0,0.0
3001272,17/3/2022 19:27,2,2,6,3,275.0,275.0,0.0,0.0
3001273,17/3/2022 19:30,2,1,1,1,330.0,330.0,0.0,0.0
3001274,17/3/2022 19:35,2,1,1,1,265.0,265.0,0.0,0.0
3001275,17/3/2022 20:31,2,2,3,3,519.0,519.0,0.0,0.0
3001276,17/3/2022 20:42,2,2,4,3,90.0,90.0,0.0,0.0
3001277,18/3/2022 11:17,2,2,4,3,180.0,180.0,0.0,0.0
3001278,18/3/2022 11:27,2,2,6,3,100.0,100.0,0.0,0.0
3001279,18/3/2022 11:50,2,2,2,1,65.0,65.0,0.0,0.0
3001280,18/3/2022 12:16,2,2,2,2,110.0,120.0,0.0,10.0
3001281,18/3/2022 12:18,2,2,4,3,150.0,150.0,0.0,0.0
3001282,18/3/2022 12:26,2,2,4,3,429.0,429.0,0.0,0.0
3001283,18/3/2022 13:05,2,1,1,1,361.0,361.0,0.0,0.0
3001284,18/3/2022 13:12,2,2,2,1,60.0,60.0,0.0,0.0
3001285,18/3/2022 13:12,2,2,2,2,110.0,110.0,0.0,0.0
3001286,18/3/2022 13:15,2,2,2,2,10.0,10.0,0.0,0.0
3001287,18/3/2022 14:09,2,1,1,1,349.0,349.0,0.0,0.0
3001288,18/3/2022 15:49,2,2,3,3,284.0,284.0,0.0,0.0
3001289,18/3/2022 15:59,2,2,2,2,20.0,100.0,0.0,80.0
3001290,18/3/2022 16:30,2,2,2,1,215.0,215.0,0.0,0.0
3001291,18/3/2022 16:38,2,2,3,3,469.0,469.0,0.0,0.0
3001292,18/3/2022 16:58,2,1,1,1,432.0,432.0,0.0,0.0
3001293,18/3/2022 18:43,2,2,7,3,515.0,515.0,0.0,0.0
3001294,18/3/2022 18:43,2,2,7,3,175.0,175.0,0.0,0.0
3001295,18/3/2022 18:50,2,2,4,3,115.0,115.0,0.0,0.0
3001296,18/3/2022 19:24,2,1,1,1,343.0,343.0,0.0,0.0
3001297,18/3/2022 20:05,2,2,2,1,480.0,480.0,0.0,0.0
3001298,18/3/2022 20:11,2,1,1,1,319.0,319.0,0.0,0.0
3001299,18/3/2022 21:12,2,1,1,2,26.0,26.0,0.0,0.0
3001300,18/3/2022 21:12,2,1,1,1,400.0,400.0,0.0,0.0
3001301,19/3/2022 13:53,2,2,4,3,180.0,180.0,0.0,0.0
3001302,19/3/2022 13:53,2,2,6,3,250.0,250.0,0.0,0.0
3001303,19/3/2022 14:27,2,2,3,3,180.0,180.0,0.0,0.0
3001304,19/3/2022 14:47,2,1,1,1,625.0,625.0,0.0,0.0
3001305,19/3/2022 16:01,2,1,1,2,375.0,1000.0,0.0,625.0
3001306,19/3/2022 16:07,2,1,1,1,645.0,645.0,0.0,0.0
3001307,19/3/2022 16:07,2,2,2,1,415.0,415.0,0.0,0.0
3001308,19/3/2022 16:25,2,2,3,3,644.0,644.0,0.0,0.0
3001309,19/3/2022 17:24,2,2,6,3,384.0,384.0,0.0,0.0
3001310,19/3/2022 17:55,2,2,3,3,279.0,279.0,0.0,0.0
3001311,19/3/2022 18:22,2,2,4,3,459.0,459.0,0.0,0.0
3001312,19/3/2022 18:32,2,2,2,1,55.0,55.0,0.0,0.0
3001313,19/3/2022 19:24,2,1,1,1,275.0,275.0,0.0,0.0
3001314,19/3/2022 19:36,2,2,4,3,255.0,255.0,0.0,0.0
3001315,19/3/2022 20:11,2,2,7,3,155.0,155.0,0.0,0.0
3001316,19/3/2022 20:19,2,2,6,3,180.0,180.0,0.0,0.0
3001317,19/3/2022 21:11,2,1,1,1,445.0,445.0,0.0,0.0
3001318,19/3/2022 22:07,2,1,1,1,261.0,261.0,0.0,0.0
3001319,19/3/2022 22:20,2,2,4,3,144.0,144.0,0.0,0.0
3001320,19/3/2022 23:07,2,2,2,2,130.0,500.0,0.0,370.0
3001321,19/3/2022 23:10,2,2,4,3,219.0,219.0,0.0,0.0
3001322,19/3/2022 23:28,2,2,4,3,408.0,408.0,0.0,0.0
3001323,19/3/2022 23:57,2,1,1,1,663.0,663.0,0.0,0.0
3001324,19/3/2022 23:58,2,1,1,1,120.0,120.0,0.0,0.0
3001325,20/3/2022 0:48,2,1,1,1,511.0,511.0,0.0,0.0
3001326,21/3/2022 11:26,2,2,7,3,350.0,350.0,0.0,0.0
3001327,21/3/2022 11:39,2,2,4,3,325.0,325.0,0.0,0.0
3001328,21/3/2022 11:53,2,2,2,1,65.0,65.0,0.0,0.0
3001329,21/3/2022 11:57,2,2,6,3,100.0,100.0,0.0,0.0
3001330,21/3/2022 12:22,2,2,2,2,335.0,1000.0,0.0,665.0
3001331,21/3/2022 12:30,2,2,2,1,65.0,65.0,0.0,0.0
3001332,21/3/2022 12:30,2,2,6,3,189.0,189.0,0.0,0.0
3001333,21/3/2022 12:31,2,1,1,2,144.0,144.0,0.0,0.0
3001334,21/3/2022 12:33,2,2,3,3,279.0,279.0,0.0,0.0
3001335,21/3/2022 12:35,2,2,3,3,115.0,115.0,0.0,0.0
3001336,21/3/2022 12:39,2,1,1,2,247.0,1000.0,0.0,753.0
3001337,21/3/2022 12:56,2,1,1,2,279.0,1000.0,0.0,721.0
3001338,21/3/2022 13:35,2,2,7,3,159.0,159.0,0.0,0.0
3001339,21/3/2022 13:48,2,2,2,1,270.0,270.0,0.0,0.0
3001340,21/3/2022 13:57,2,2,2,1,117.0,117.0,0.0,0.0
3001341,21/3/2022 14:35,2,1,1,1,409.0,409.0,0.0,0.0
3001342,21/3/2022 16:03,2,1,1,1,142.0,142.0,0.0,0.0
3001343,21/3/2022 16:09,2,2,2,2,75.0,105.0,0.0,30.0
3001344,21/3/2022 16:11,2,2,2,2,20.0,20.0,0.0,0.0
3001345,21/3/2022 16:35,2,2,3,3,105.0,105.0,0.0,0.0
3001346,21/3/2022 16:45,2,2,4,3,379.0,379.0,0.0,0.0
3001347,21/3/2022 17:52,2,2,2,2,215.0,1000.0,0.0,785.0
3001348,21/3/2022 18:07,2,2,2,1,65.0,65.0,0.0,0.0
3001349,21/3/2022 18:28,2,1,1,1,172.0,172.0,0.0,0.0
3001350,21/3/2022 18:37,2,2,2,3,175.0,175.0,0.0,0.0
3001351,21/3/2022 18:38,2,2,3,3,780.0,780.0,0.0,0.0
3001352,21/3/2022 18:46,2,2,3,3,150.0,150.0,0.0,0.0
3001353,21/3/2022 19:07,2,2,4,3,165.0,165.0,0.0,0.0
3001354,21/3/2022 19:51,2,2,2,1,85.0,85.0,0.0,0.0
3001355,21/3/2022 20:40,2,2,4,3,205.0,205.0,0.0,0.0
3001356,21/3/2022 20:41,2,1,1,1,330.0,330.0,0.0,0.0
3001358,22/3/2022 11:06,2,2,4,3,180.0,180.0,0.0,0.0
3001359,22/3/2022 11:39,2,2,4,3,250.0,250.0,0.0,0.0
3001360,22/3/2022 12:21,2,2,2,1,55.0,55.0,0.0,0.0
3001361,22/3/2022 12:28,2,1,1,1,294.0,294.0,0.0,0.0
3001362,22/3/2022 13:17,2,1,1,1,144.0,144.0,0.0,0.0
3001363,22/3/2022 13:34,2,2,2,2,155.0,200.0,0.0,45.0
3001364,22/3/2022 13:36,2,2,2,2,22.0,25.0,0.0,3.0
3001365,22/3/2022 16:02,2,1,1,1,75.0,75.0,0.0,0.0
3001366,22/3/2022 18:09,2,2,2,1,55.0,55.0,0.0,0.0
3001367,22/3/2022 18:21,2,2,7,3,250.0,250.0,0.0,0.0
3001368,22/3/2022 18:23,2,2,4,3,240.0,240.0,0.0,0.0
3001369,22/3/2022 18:36,2,1,1,1,290.0,290.0,0.0,0.0
3001370,22/3/2022 19:06,2,2,7,3,250.0,250.0,0.0,0.0
